,药品名称,指导价,成分,性状,适应症,用法用量,禁忌,注意事项,特殊人群用药,通用名称,用法,剂型,成分明细,功效或适应症,特殊人群,商品名称
10,"通用名称：感冒灵胶囊
                                
商品名称：999                                
英文名称：GanMaoLingJiaoNang(999)                                
汉语拼音：Ganmaoling Jiaonang",15.8,三叉苦、岗梅、金盏银盘、薄荷油、野菊花、马来酸氯苯那敏、咖啡因、对乙酰氨基酚。,本品为胶囊剂，内容物为棕褐色颗粒；味苦。,用于感冒引起的头痛，发热，鼻塞，流涕，咽痛等。,口服。一次2粒，一日3次。,严重肝肾功能不全者禁用。,"1.忌烟、酒及辛辣、生冷、油腻食物。
2.不宜在服药期间同时服用滋补性中成药。
3.本品含对乙酰氨基酚、马来酸氯苯那敏、咖啡因。服用本品期间不得饮酒或含有酒精的饮料；不能同时服用与本品成份相似的其他抗感冒药；肝、肾功能不全者慎用；膀胱颈梗阻、甲状腺功能亢进、青光眼、高血压和前列腺肥大者慎用；孕妇及哺乳期妇女慎用；服药期间不得驾驶机、车、船、从事高空作业、机械作业及操作精密仪器。
4.脾胃虚寒，症见腹痛、喜暖、泄泻者慎用。
5.心脏病、糖尿病等慢性病严重者应在医师指导下服用。
6.儿童、年老体弱者应在医师指导下服用。
7.服药3天后症状无改善，或症状加重，或出现新的严重症状如胸闷、心悸等应立即停药，并去医院就诊。
8.对本品过敏者禁用，过敏体质者慎用。
9.本品性状发生改变时禁止使用。
10.儿童必须在成人监护下使用。
11.请将本品放在儿童不能接触的地方。
12.如正在使用其他药品，使用本品前请咨询医师或药师。",,感冒灵胶囊,['口服'],"['颗粒剂', '胶囊剂', '软膏剂']","{""三叉苦"",""岗梅"",""金盏银盘"",""薄荷油"",""野菊花"",""马来酸氯苯那敏"",""咖啡因"",""对乙酰氨基酚""}","{""感冒"",""头痛"",""发热"",""鼻塞"",""流涕"",""咽痛""}","{""忌用人群"":[], ""禁用人群"":[""严重肝肾功能不全者"",""对本品过敏者""], ""慎用人群"":[""肝、肾功能不全者"",""膀胱颈梗阻者"",""甲状腺功能亢进者"",""青光眼患者"",""高血压患者"",""前列腺肥大者"",""孕妇"",""哺乳期妇女"",""脾胃虚寒者"",""过敏体质者""]}",999
11,"通用名称：补肾固齿丸
                                
商品名称：九芝堂                                
英文名称：BuShenGuChiWan(JiuZhiTang)                                
汉语拼音：Bushen Guchi Wan",45.2,熟地黄、地黄、鸡血藤、紫河车、盐骨碎补、漏芦、酒丹参、酒五味子、山药、醋郁金、炙黄芪、牛膝、野菊花、茯苓、枸杞子、牡丹皮、盐泽泻、肉桂。辅料：食盐、薄膜包衣剂。,本品为薄膜衣水丸，除去包衣后显棕褐色；味咸、微苦、辛。,补肾固齿，活血解毒。用于肾虚血热型牙周病，牙齿酸软，咀嚼无力，松动移位，牙龈出血。,口服。一次4克，一日2次。,尚不明确。,"1.忌烟、酒及辛辣、油腻食物。
2.不宜在服药期间同时服用温补性中药。
3.儿童、哺乳期妇女、年老体弱者应在医师指导下服用。
4.有高血压、心脏病、肝病、肾病等慢性病严重者应在医师指导下服用。
5.服药时最好配合牙科治疗。
6.服药7天症状无缓解，应去医院就诊。
7.对本品过敏者禁用，过敏体质者慎用。
8.药品性状发生改变时禁止服用。
9.儿童必须在成人监护下使用。
10.请将此药品放在儿童不能接触的地方。
11.如正在服用其他药品，使用本品前请咨询医师或药师。","妊娠与哺乳期注意事项：
                                    
孕妇禁用。",补肾固齿丸,['口服'],"['中药剂型', '膜剂', '液体剂型']","{""熟地黄"",""地黄"",""鸡血藤"",""紫河车"",""盐骨碎补"",""漏芦"",""酒丹参"",""酒五味子"",""山药"",""醋郁金"",""炙黄芪"",""牛膝"",""野菊花"",""茯苓"",""枸杞子"",""牡丹皮"",""盐泽泻"",""肉桂"",""食盐"",""薄膜包衣剂""}","{""补肾固齿"",""活血解毒"",""肾虚血热型牙周病"",""牙齿酸软"",""咀嚼无力"",""松动移位"",""牙龈出血""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者"",""孕妇""],""慎用人群"":[""过敏体质者"",""儿童"",""哺乳期妇女"",""年老体弱者"",""高血压患者"",""心脏病患者"",""肝病患者"",""肾病患者""]}",九芝堂
12,"通用名称：小儿热速清颗粒
                                
商品名称：圣泰                                 
英文名称：XiaoErReSuQingKeLi(ShengTai)                                
汉语拼音：Xiao Er Re Su Qing Ke Li",19.5,柴胡、黄芩、板蓝根、葛根、金银花、水牛角、连翘、大黄。辅料为蔗糖、糊精。,本品为土黄色至棕褐色的颗粒;味微苦。,清热，解毒，利咽。用于风热感冒，发热头痛，咽喉红肿，鼻塞流黄涕，咳嗽，便秘。,口服。一岁以内，一次1/4-半袋，一岁至三岁，一次半袋-1袋，三岁至七岁，一次1袋-1.5袋，七岁至十二岁，一次1.5袋-2袋，一日3-4次。,风寒感冒，大便次数多者忌用。,1.感冒风寒，大便次数多者忌用。2.忌食生冷辛辣食物。3.按照用法用量服用，如病情较重或服药二天后疗效不明显者，应及时去医院就诊。4.药品性状发生改变时禁止服用。5.儿童必须在成人的监护下使用。6.请将此药品放在儿童不能接触的地方。7.如正在服用其他药品，使用本品前请咨询医师或药师。,,小儿热速清颗粒,['口服'],['颗粒剂'],"{""柴胡"",""黄芩"",""板蓝根"",""葛根"",""金银花"",""水牛角"",""连翘"",""大黄"",""蔗糖"",""糊精""}","{""清热"",""解毒"",""利咽"",""风热感冒"",""发热头痛"",""咽喉红肿"",""鼻塞流黄涕"",""咳嗽"",""便秘""}","{""忌用人群"":[""风寒感冒者"",""大便次数多者""], ""禁用人群"":[], ""慎用人群"":[]}",圣泰
13,"通用名称：小儿肺热咳喘颗粒4克
                                
商品名称：葫芦娃                                
汉语拼音：Xiaoer Feire Kechuan Keli",,麻黄、苦杏仁、生石膏、甘草、金银花、连翘、知母、黄芩、板蓝根、麦冬、鱼腥草。,本品为棕黄色至深棕黄色颗粒；味甜,清热解毒，宣肺止咳，化痰平喘。用于感冒，支气管炎，喘息性支气管炎，支气管肺炎属痰热壅肺证者。,开水冲服，三周岁以下一次4克（一袋），一日3次；三周岁以上一次4克（一袋），一日4次；七周岁以上一次8克（2袋），一日3次。,尚不明确,1.忌辛辣、生冷、油腻食物。2.不宜在服药期间同时服用滋补性中药。3.婴儿及糖尿病患儿应在医师指导下服用。4.风寒闭肺、内伤久咳者不适用。5.运动员慎用。6.高血压、心脏病患儿慎用。脾虚易腹泻者在医师指导下服用。7.发热体温超过38.5℃的患者，应去医院就诊。8.服药3天症状无缓解，应去应用就诊。9.对本品过敏者禁用，过敏体质者慎用。10.本品性状发生改变时禁止使用。11.儿童必须在成人监护下使用。12.请将本品放在儿童不能接触的地方。13.如正在使用其他药品，使用本品前请咨询医师或药师。,,小儿肺热咳喘颗粒4克,['冲服'],['颗粒剂'],"{""麻黄"",""苦杏仁"",""生石膏"",""甘草"",""金银花"",""连翘"",""知母"",""黄芩"",""板蓝根"",""麦冬"",""鱼腥草""}","{""清热解毒"",""宣肺止咳"",""化痰平喘"",""感冒"",""支气管炎"",""喘息性支气管炎"",""支气管肺炎属痰热壅肺证者""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""运动员"",""高血压患儿"",""心脏病患儿"",""过敏体质者"",""脾虚易腹泻者""]}",葫芦娃
14,"通用名称：熊胆川贝口服液
                                
商品名称：一品红                                
英文名称：XiongDanChuanBeiKouFuYe(YiPinHong)                                
汉语拼音：Xiongdan Chuanbei Koufuye",22.5,熊胆、川贝母、杏仁,本品为浅黄色至浅黄棕色的液体；气微香，味甜微苦、有凉喉感。,清热化痰，止咳。用于痰热咳嗽，咳痰不止，咯痰不爽。,口服。一次10毫升，一日2-3次。,孕妇禁用；糖尿病患者禁服。,"1.忌食辛辣、油腻食物。 2.本品适用于肺热咳嗽，其表现为咳嗽，咯痰不爽，痰粘稠。 
3.支气管扩张、肺脓疡、肺心病、肺结核患者应在医师指导下服用。 4.服用一周病证无改善，应停止服用，去医院就诊。 
5.服药期间，若患者出现高热，体温超过38℃，或出现喘促气急者，或咳嗽加重，痰量明显增多者应到医院就诊。 6.孕妇、体质虚弱者慎用。 
7.对本品过敏者禁用，过敏体质者慎用。 8.药品性状发生改变时禁止服用。 9.儿童必须在成人监护下使用。 
10.请将此药品放在儿童不能接触的地方。 11.如正在服用其他药品，使用本品前请咨询医师或药师。",,熊胆川贝口服液,['口服'],"['液体剂型', '气雾剂']","{""熊胆"",""川贝母"",""杏仁""}","{""清热化痰"",""止咳"",""痰热咳嗽"",""咳痰不止"",""咯痰不爽""}","{""忌用人群"":[],""禁用人群"":[""孕妇"",""糖尿病患者"",""对本品过敏者""],""慎用人群"":[""体质虚弱者"",""过敏体质者""]}",一品红
15,"通用名称：盐酸卡替洛尔滴眼液
                                
商品名称：美开朗                                
英文名称：Carteolol Hydrochloride Eye Drops                                
汉语拼音：Yansuan Katiluoer Diyanye",24.8,"本品主要成份为：盐酸卡替洛尔。其化学名称为：5-[3-(1,1二甲基乙基)氨基]-2羟丙氧基-3,4-二氢-2（1H）-喹诺酮盐酸盐。分子式：C16H24N2O3HCl分子量：328.84",本品为无色的澄明溶液。,对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，手术后未完全控制的闭角型青光眼以及其他药物及手术无效的青光眼，加用本品滴眼可进一步增强降眼压效果。,滴眼，一日2次，一次1滴。滴于结膜囊内，滴后用手指压迫内毗角泪囊部3～5分钟。,"1 支气管哮喘者或有支气管哮喘史者，严重慢性阻塞性肺部疾病。
2 窦性心动过缓，Ⅱ或Ⅲ度房室传导阻滞，明显心衰，心源性休克。
3 对本品过敏者。","1.本品慎用于已知是全身β-肾上腺能阻断剂禁忌症的患者，包括异常心动过缓，I度以上房室传导阻滞。
2.对有明显心脏疾病患者应用本品应监测脉搏。
3.本品慎用于对其他β-肾上腺能阻断剂过敏者。
4.已有肺功能低下的患者慎用。
5.本品慎用于自发性低血糖患者及接受胰岛素或降糖药治疗的患者，因β受体阻滞剂可掩盖低血糖症状。
6.本品不易单独用于治疗闭角型青光眼。
7.与其他滴眼液联合使用时，请间隔10分钟以上。
8.本品含氯化苯烷铵戴软性角膜接触镜者不宜使用。
9.定期复查眼压，根据眼压变化调整用药方案。
10","儿童注意事项：
                                    
本品对于儿童的安全性和疗效尚未确立，请慎用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
本品对于孕妇的安全性尚未确立，孕妇应慎用。尚不清楚本品是否通过乳汁分泌，已知同类药物马来酸噻吗洛尔滴眼液滴眼后可在哺乳期妇女乳汁中测到，且对授乳婴儿具有多种潜在不良反应，所以哺乳期妇女应权衡利弊，在医生指导下使用。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",盐酸卡替洛尔滴眼液,['滴眼'],['液体剂型'],{"盐酸卡替洛尔"},"{""原发性开角型青光眼"",""降低眼内压"",""继发性青光眼"",""高眼压症"",""手术后未完全控制的闭角型青光眼"",""其他药物及手术无效的青光眼"",""增强降眼压效果""}","{""忌用人群"":[],""禁用人群"":[""支气管哮喘者"",""有支气管哮喘史者"",""严重慢性阻塞性肺部疾病患者"",""窦性心动过缓患者"",""Ⅱ或Ⅲ度房室传导阻滞患者"",""明显心衰患者"",""心源性休克患者"",""对本品过敏者"",""戴软性角膜接触镜者""],""慎用人群"":[""已知是全身β - 肾上腺能阻断剂禁忌症的患者"",""有明显心脏疾病患者"",""对其他β - 肾上腺能阻断剂过敏者"",""已有肺功能低下的患者"",""自发性低血糖患者"",""接受胰岛素或降糖药治疗的患者"",""儿童"",""孕妇"",""哺乳期妇女""]}",美开朗
16,"通用名称：曲尼司特胶囊
                                
商品名称：曲可伸                                
英文名称：Tranilast Capsules                                
汉语拼音：Qu Ni Si Te Jiao Nang",23.8,曲尼司特。,胶囊。内含淡黄色粉末；无臭，无味。,本品为抗变态反应药，可用于支气管哮喘及过敏性鼻炎的预防性治疗。,口服。通常情况下，成人一日3次，一次1粒(0.1g);儿童一日5mg/kg，分3次服用。用于哮喘发作时与其他平喘药配伍用，或遵医嘱。,"1.孕妇忌用。
2.对本品成份过敏的患者禁用。","1.本品能阻断过敏反应发生的环节，在哮喘好发季节前半月起服用，能起到预防作用。
2.本品不同于支气管舒张剂以及肾上腺皮质激素，对已经发作的哮喘症状，不能迅速起效。
3.本品可与其它平喘药并用，以本品作为基础处方药，有规则地服用。
4.激素依赖性患者使用本品时，激素用量应慢慢减少，不可突然停用。
5.肝、肾功能异常者慎用。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
1.妊娠（特别是3个月以内）和有可能妊娠的妇女，禁用。
2.哺乳妇女服用时应避免授乳。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",曲尼司特胶囊,['口服'],"['粉剂', '胶囊剂', '软膏剂']",{"曲尼司特"},"{""支气管哮喘"",""过敏性鼻炎的预防性治疗""}","{""忌用人群"":[""孕妇""], ""禁用人群"":[""对本品成份过敏的患者"",""妊娠（特别是3个月以内）和有可能妊娠的妇女"",""哺乳妇女""], ""慎用人群"":[""肝、肾功能异常者"",""激素依赖性患者""]}",曲可伸
17,"通用名称：蓝芩口服液
                                
商品名称：扬子江                                
英文名称：LanQinKouFuYe(YangZiJiang)                                
汉语拼音：Lanqin Koufuye",32.1,板蓝根、黄芩、栀子、黄柏、胖大海。,本品为棕红色的澄清液体；味甜、微苦。,清热解毒，利咽消肿。用于急性咽炎、肺胃实热证所致的咽痛、咽干、咽部灼热。,口服。一次20毫升（2支），一日3次。,尚不明确。,"1.忌烟酒。辛辣。鱼腥食物。
2.不宜在服药期间同时服用温补性中药。
3.孕妇慎用。糖尿病患者、儿童应在医师指导下服用。
4.脾虚大便溏者慎用。
5.属风寒感冒咽痛者，症见恶寒发热，无汗、鼻流清涕者慎用。
6.服药3天症状无缓解，应去医院就诊。
7.对本品过敏者禁用，过敏体质者慎用。
8.本品性状发生改变时禁止使用。
9.儿童必须在成人监护下使用。
10.请将本品放在儿童不能接触的地方。
11.如正在使用其他药品，使用本品前请咨询医师或药师。",,蓝芩口服液,['口服'],['液体剂型'],"{""板蓝根"",""黄芩"",""栀子"",""黄柏"",""胖大海""}","{""清热解毒"",""利咽消肿"",""急性咽炎"",""咽痛"",""咽干"",""咽部灼热""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""孕妇"",""脾虚大便溏者"",""属风寒感冒咽痛者"",""过敏体质者""]}",扬子江
18,"通用名称：四味珍层冰硼滴眼液
                                
商品名称：珍视明                                
英文名称：siweizhencengbingpengdiyanye(zhenshimingdiyanye)                                
汉语拼音：Siweizhencenbinpeng Diyanye",21.2,珍珠层粉、天然冰片、硼砂、硼酸。辅料：氯化钠、乙醇、注射用水、苯氧乙醇。,本品为近无色或微黄色的澄明液体。气香。,清热解痉，去翳明目。用于肝阴不足，肝气偏盛所致的不能久视、青少年远视力下降；青少年假性近视、视力疲劳。,滴于眼睑内。一次1-2滴，一日3-5次；必要时可酌情增加。,尚不明确。,1.本品为外用滴眼液，禁止内服。2.忌烟、酒、辛辣刺激性食物。3.眼部有炎症者应去医院就诊。4.用药后有沙涩磨痛、流泪频频、眼痒、眼睑皮肤潮红、眼胀者应停用，并到医院就诊。5.如视力下降明显应到医院就诊。6.滴眼时瓶口勿接触眼睛，使用后应将瓶盖拧紧，以免污染药液。7.用药7天症状无缓解，应去医院就诊。8.打开瓶盖后，15天内用完。9.对本品过敏者禁用，过敏体质者慎用。10.本品性状发生改变时禁止使用。11.儿童必须在成人监护下使用。12.请将本品放在儿童不能接触的地方。,,四味珍层冰硼滴眼液,['滴眼'],"['液体剂型', '气雾剂']","{""珍珠层粉"", ""天然冰片"", ""硼砂"", ""硼酸"", ""氯化钠"", ""乙醇"", ""注射用水"", ""苯氧乙醇""}","{""清热解痉"",""去翳明目"",""不能久视"",""青少年远视力下降"",""青少年假性近视"",""视力疲劳""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""过敏体质者""]}",珍视明
19,"通用名称：复方硫酸软骨素滴眼液
                                
商品名称：润洁                                
英文名称：Compound Chondroitin Sulfate Eye Drops                                
汉语拼音：Fufang Liusuan Ruangaosu Diyanye",19.7,本品为复方制剂，其主要成分为每毫升含硫酸软骨素钠1毫克、维生素E0.1毫克、维生素B60.1毫克、尿囊素2毫克、牛磺酸2毫克。辅料为：玻璃酸钠、硼酸、硼砂、冰片、薄荷脑、无水乙醇、聚山梨酯80、三氯叔丁醇。,本品为无色澄明或微带乳光的液体。,用于视疲劳，干眼症。,滴入眼内。一日4～6次，或有需要时滴眼;一次2～3滴。,尚不明确。,"1.本品仅供滴眼使用。
2.滴眼时请勿使管口接触手和眼睛，避免污染瓶内眼药水
3.若出现眼睛充血、发痒、红肿等较严重刺激症状时，应停止使用，并咨询医师或药师。
4.眼睛剧烈疼痛患者、青光眼患者使用前请咨询医生。
5.对本品过敏者禁用，过敏体质者慎用。
6.本品性状发生改变时禁止使用。
7.请将本品放在儿童不能接触的地方。
8.儿童必须在成人监护下使用。
9.如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",复方硫酸软骨素滴眼液,['滴眼'],"['液体剂型', '软膏剂']","{""硫酸软骨素钠"",""维生素E"",""维生素B6"",""尿囊素"",""牛磺酸"",""玻璃酸钠"",""硼酸"",""硼砂"",""冰片"",""薄荷脑"",""无水乙醇"",""聚山梨酯80"",""三氯叔丁醇""}","{""视疲劳"",""干眼症""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""过敏体质者"",""眼睛剧烈疼痛患者"",""青光眼患者""]}",润洁
20,"通用名称：清热消炎宁胶囊
                                
商品名称：敬修堂                                
英文名称：QingReXiaoYanNingJiaoNang(JingXiuTang)                                
汉语拼音：Qingrexiaoyanning Jiaonang",13.5,主要成分：丸节茶。,本品为胶囊剂，内容物为黑褐色的粉末；味微苦、涩。,清热解毒，消炎止痛，舒筋活络。适用于流行性感冒，咽喉炎，肺炎，细菌性痢疾，急性胃肠炎，阑尾炎，烧伤，疮疡脓肿，蜂窝组织炎。,口服。一次2～4粒，一日3次。外用。将内容物加温开水溶化后，按患处大小搽敷，一日2～3次。,尚不明确。,"1.忌烟、酒及辛辣、生冷、油腻食物。
2.不宜在服药期间同时服用滋补性中药。
3.发高烧体温超过38.5℃的患者，请上医院就诊。
4.高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
5.服药3天症状无缓解，应去医院就诊。
6.儿童、年老体弱者、孕妇应在医师指导下服用。
7.对本品过敏者禁用，过敏体质者慎用。
8.本品性状发生改变时禁止使用。
9.儿童必须在成人监护下使用。
10.请将本品放在儿童不能接触的地方。
11.如正在使用其他药品，使用本品前请咨询医师或药师。",,清热消炎宁胶囊,"['口服', '外用', '冲服']","['粉剂', '胶囊剂', '软膏剂']",{"丸节茶"},"{""清热解毒"",""消炎止痛"",""舒筋活络"",""流行性感冒"",""咽喉炎"",""肺炎"",""细菌性痢疾"",""急性胃肠炎"",""阑尾炎"",""烧伤"",""疮疡脓肿"",""蜂窝组织炎""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""儿童"",""年老体弱者"",""孕妇""]}",敬修堂
21,"通用名称：重感灵片
                                
商品名称：嘉应                                
英文名称：ZhongGanLingPian(JiaYing)                                
汉语拼音：Zhongganmao Pian",6.5,毛冬青羌活葛根石膏马鞭草板蓝根青蒿马来酸氯苯那敏安乃近,本品为黄色的糖衣片，除去糖衣后显棕褐色；味苦。,解表清热，消炎止痛。用于治疗恶寒，高热，四肢酸痛，鼻塞，咽喉肿痛，咳嗽等重症感冒，流行性感冒，四时感冒的各种症状。,口服。一次6～8片，一日3～4次。,尚不明确,用药期间不宜驾驶车辆、管理机器及高空作业等。,,重感灵片,['口服'],"['中药剂型', '片剂']","{""毛冬青"",""羌活"",""葛根"",""石膏"",""马鞭草"",""板蓝根"",""青蒿"",""马来酸氯苯那敏"",""安乃近""}","{""解表清热"",""消炎止痛"",""恶寒"",""高热"",""四肢酸痛"",""鼻塞"",""咽喉肿痛"",""咳嗽"",""重症感冒"",""流行性感冒"",""四时感冒""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",嘉应
22,"通用名称：氧氟沙星眼膏
                                
商品名称：迪可罗                                
英文名称：Ofloxacin Eye Ointment                                
汉语拼音：Yangfu Shaxing Yangao",18.3,本品主要成分为：氧氟沙星。,白色或类白色的软膏。,适用于治疗细菌性结膜炎，角膜炎，角膜溃疡，泪囊炎，术后感染等外眼感染。,局部用药:涂于眼睑内，一日3次，一次适量，或遵医嘱。,对氧氟沙星或其它喹诺酮类药物过敏者禁用。,"1.品不宜长期使用。
2.用中出现过敏症状,应立即停止使用。","儿童注意事项：
                                    
尚不明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚不明确。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",氧氟沙星眼膏,"['外用', '局部给药']","['中药剂型', '软膏剂']",{"氧氟沙星"},"{""细菌性结膜炎"",""角膜炎"",""角膜溃疡"",""泪囊炎"",""术后感染"",""外眼感染""}","{""忌用人群"":[],""禁用人群"":[""对氧氟沙星或其它喹诺酮类药物过敏者""],""慎用人群"":[]}",迪可罗
